0:0,0.27,0.33,0.58,0.66,cs_results_1
2:2,0.33,0.28,0.56,0.57,cs_results_1
4:4,0.11,0.36,0.44,0.64,cs_results_1
4:2/2:4,0.44,0.44,0.55,0.65,cs_results_1
4:0/0:4,0.45,0.55,0.68,0.70,cs_results_1
2:0/0:2,0.41,0.60,0.55,0.68,cs_results_1
0:0,0.60,0.55,0.42,0.50,cs_results_2
2:2,0.62,0.67,0.56,0.54,cs_results_2
4:4,0.70,0.64,0.52,0.50,cs_results_2
4:2/2:4,0.77,0.69,0.66,0.59,cs_results_2
4:0/0:4,0.88,0.66,0.75,0.66,cs_results_2
2:0/0:2,0.88,0.86,0.62,0.70,cs_results_2
